SMILES	LogP	Donors	Acceptors	Rotable Bonds	Molecule Weight	Surface Area	CDK2 inhibitor	CDK2 pki	Allosteric or not	Type I or II	Type I1/2 or II	Type I or I1/2	final Decision
Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)Nc3cccc(S(=O)(=O)N4CCOCC4)c3)c2n1	3.888	1	6	6	510.399	201.004	No	5.361	No	I	II	I	Type I	
Cc1cc(OCC(O)Cn2cnc3sc(C)c(C)c3c2=O)c(C(C)C)cc1Cl	4.600	1	6	6	420.962	173.117	Yes	5.353	No	I	I1/2	I	Type I	
CCCn1c(-c2ccc(-c3cccc(Cl)c3Cl)o2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	5.578	1	6	6	495.366	203.756	Yes	5.913	No	I	II	I	Type I	
COCCn1c(N)c(N2CCCCC2)c(=O)n(CC(=O)Nc2ccc(N3CCCC3)cc2C)c1=O	1.776	2	9	8	484.601	204.818	Yes	5.923	No	I	I1/2	I	Type I	
C=CCN(c1ccccc1Cl)S(=O)(=O)c1cc(C(=O)N2C[C@H](OC)C[C@H]2CNC(=O)C2(CC=C)CCN(C(=O)OC(C)(C)C)C2)ccc1Cl	5.924	1	7	12	735.731	298.400	No	5.956	No	I	II	I	Type I	
O=C(Nc1ccc2c(c1)CCN2C(=O)c1ccoc1)C1CC2C=CC1C2	3.633	1	3	3	348.402	151.223	No	5.951	No	I	I1/2	I	Type I	
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NCC1Cc2ccccc2CN1C(=O)C1(CC=C)CCN(C(=O)OC(C)(C)C)C1	6.157	1	5	9	627.704	261.404	No	5.699	No	I	II	I	Type I	
CCN(CC)CCOc1ccccc1CNC(=O)c1ccc(OCc2c(C)noc2C)c(OC)c1	4.530	1	7	13	481.593	206.702	No	5.555	No	I	II	I	Type I	
CCCn1ncc(C(=O)N2CC3CCC2CN3C(=O)C2CC3CCC2CC3)c1C	3.243	0	4	4	398.551	173.157	No	5.741	No	I	I1/2	I	Type I	
COC(=O)c1cc(C#N)c(=O)n(CC(O)CN2CCN(c3ccccc3)CC2)c1	0.690	1	8	6	396.447	168.705	No	5.483	No	I	II	I	Type I	
CC(C)c1ccc(-c2noc(COC(=O)CCCn3cnc4c3c(=O)n(C)c(=O)n4C)n2)cc1	2.131	0	11	8	466.498	194.158	No	5.656	No	I	I1/2	I	Type I	
CCN1CCN(c2ccc(S(=O)(=O)N(CC)CC)cc2NC(=O)Cn2nc(C)c([N+](=O)[O-])c2C)CC1	2.219	1	9	10	521.644	211.604	Yes	5.892	No	I	I1/2	I	Type I	
Cc1cc(C(=O)N2CCCCC2c2ccc(C(C)C)cc2)ncc1C(N)=O	3.980	1	3	4	365.477	160.139	Yes	5.750	No	I	I1/2	I	Type I	
Cc1cn2c3c(=O)n(CCCO)c(=O)n(C)c3nc2n1-c1ccc(Oc2ccccc2)cc1	2.622	1	9	6	445.479	187.899	Yes	5.722	No	I	II	I	Type I	
O=C(Nc1ccc(Cl)cc1C(=O)c1ccccc1F)c1cc(S(=O)(=O)N2CCOCC2)c(Cl)cc1Cl	5.290	1	5	6	571.841	221.312	No	5.622	No	I	II	I	Type I	
C=CCN(c1ccc(OC)cc1)S(=O)(=O)c1ccc(Cl)c(C(=O)N(CCNC(=O)C2(CC=C)CN(C(=O)OC(C)(C)C)C2)Cc2cccc(Cl)c2)c1	6.955	1	7	15	771.764	315.368	No	5.872	No	I	II	I	Type I	
CC(C)OC(=O)Nc1ccc(OC(=O)c2cccc(-c3noc(CC(C)(C)C)n3)c2)c(Cl)c1	6.155	1	7	6	471.941	196.783	No	5.470	No	II	I1/2	I	Type II	
CCOc1ccc2oc(C(=O)N(CCOC)c3c(N)n(CC(C)C)c(=O)[nH]c3=O)c(C)c2c1	2.521	2	8	9	458.515	190.440	Yes	5.776	No	I	I1/2	I	Type I	
CS(=O)(=O)c1ccc2nc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cl)c(Cl)c3)C4=O)sc2c1	5.060	1	7	4	546.413	212.567	No	5.619	No	I	II	I	Type I	
CCOC(=O)c1ccc2c(c1)nc(C(C)O)n2CC(=O)Nc1ccc(N(CC)C(C)C)cc1	4.140	2	7	9	452.555	193.729	Yes	5.360	No	I	II	I	Type I	
CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)N(C)C(C)c1ccc(-n3cncn3)cc1)C2=O	2.924	1	6	5	452.559	193.697	Yes	5.577	No	I	I1/2	I	Type I	
Cc1cnn(CC2CCCN2C(=O)c2ccc(C(N)=O)cn2)c1	0.990	1	5	4	313.361	133.652	Yes	6.090	No	I	I1/2	I	Type I	
Cc1[nH]nc(C(=O)N(C)C(c2cccnc2)C(C)C)c1[N+](=O)[O-]	2.491	1	5	5	317.349	133.234	No	6.121	No	I	I1/2	I1/2	Type I1/2	
Cn1c(N2CCCC2c2ccc3c(c2)OCCCO3)c(C#N)c(=O)n(C)c1=O	1.458	0	8	2	382.420	161.688	No	6.551	No	I	I1/2	I	Type I	
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2nc(-c3ccccc3)n3ccccc23)C(=O)C1	5.861	1	6	4	484.596	210.608	No	5.961	No	I	I1/2	I	Type I	
CN(C(=O)Nc1cc2c(cc1Br)CCC2)C1CCC(CO)CC1	3.953	2	2	3	381.314	145.932	No	5.318	No	I	I1/2	I	Type I	
Cc1cc(C)cc(OCC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)c1	1.918	2	7	10	487.601	205.231	Yes	6.399	No	I	I1/2	I	Type I	
Cc1cnc(C(=O)NCc2ccc(CN3C(=O)NC(C)(C)C3=O)cc2)cn1	1.545	2	5	5	367.409	156.551	Yes	5.345	No	I	II	I	Type I	
C=CCN=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1cccc(OC)c1OC	3.007	2	8	8	438.509	182.764	No	5.555	No	I	I1/2	I	Type I	
COc1cc(C=NNc2c(Cl)c(Cl)nc(C(=O)O)c2Cl)cc2c1OCCO2	3.966	2	7	5	432.647	168.149	No	5.289	No	I	II	I	Type I	
C[C@@H]1Cc2c(nn(C)c2C(=O)N2CCC(c3ccc(C#N)cn3)CC2)[C@H](C)O1	2.729	0	6	2	379.464	164.475	No	6.003	No	I	I1/2	I	Type I	
Cn1[nH]c(=O)c2c(C(=O)Nc3ccc(Cl)c(CN4CCOCC4)c3)cc(C3CC3)nc21	2.877	2	6	5	441.919	183.684	Yes	5.834	No	I	I1/2	I	Type I	
Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)N(C3CCCCC3)C3CCCCC3)c2n1	6.723	0	3	5	449.422	188.437	No	5.226	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2Cc2nc3ccccc3n2C(F)F)n(C)c1=O	1.227	0	8	3	360.324	144.103	No	5.594	No	I	II	I	Type I	
COc1ccc(-c2nc(C#N)c(NCC(c3ccc(OC)cc3)N(C)C)o2)cc1	3.945	1	7	8	392.459	170.044	Yes	5.668	No	I	I1/2	I	Type I	
Cn1ncnc1-c1cccc(Nc2cccc(N3CC[C@H](Oc4cnccc4C#N)C3)n2)c1	3.545	1	9	6	438.495	190.869	Yes	6.103	No	I	I1/2	I	Type I	
CCCCn1c(CN2CC(C(N)=O)Oc3ccccc32)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1	1.988	2	8	8	488.548	206.492	Yes	5.624	No	I	II	I	Type I	
Cc1ccccc1C(CN(C)C)NC(=O)c1cccc2c1CCOC2	3.100	1	3	5	338.451	149.352	No	5.589	No	I	II	I	Type I	
Cn1ccc(C(=O)Nc2c(F)cc(Br)cc2F)cc1=O	2.678	1	3	2	343.127	120.720	Yes	5.313	No	I	II	I	Type I	
Cc1ccc(OCc2nc3c4c5c(sc4ncn3n2)C(C)(C)NC(C)(C)C5)cc1	4.386	1	7	3	407.543	173.498	Yes	5.751	No	I	I1/2	I	Type I	
Cc1cc(C)c(CNC(=O)C(c2cc(Cl)cc(Cl)c2)N2CCOCC2)cn1	3.695	1	4	5	408.329	169.178	Yes	5.808	No	I	II	I	Type I	
CN(C)C(C(=O)N1CCN(c2ccc(C#N)cn2)CC1)c1cncn1C	0.638	0	7	4	353.430	152.824	No	5.619	No	I	I1/2	I	Type I	
COc1cc2ncnc(Oc3cc(C(=O)Nc4ccc(C(=O)N5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)c2cc1OC	5.406	1	8	7	609.605	250.905	No	5.668	No	II	II	I	Type II	
C=CCN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC[C@H](NC(=O)C3(CC=C)CCCN(C(=O)OC(C)(C)C)C3)C2)c1	6.689	1	6	10	719.732	293.286	No	5.941	No	I	II	I	Type I	
N#Cc1cn(CCNC(=O)C(F)(F)c2ccccc2Br)c(=O)[nH]c1=O	1.079	2	5	5	413.178	147.588	Yes	5.467	No	I	II	I	Type I	
CCCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(OC)c(OC)cc3C)cc(C(C)C)nc21	3.196	2	7	7	440.500	184.950	No	5.796	No	I	I1/2	I	Type I	
Cc1nc2nc(C(F)(F)F)nn2c(C)c1CCC(=O)Nc1ccc2[nH]nc(C(=O)O)c2c1	2.906	3	7	5	447.377	177.031	Yes	5.741	No	I	II	I	Type I	
Cn1c(N2CC=C(c3c[nH]c4ncccc34)CC2)nc2c1c(=O)[nH]c(=O)n2C	1.130	2	7	2	377.408	158.511	Yes	5.779	No	I	I1/2	I	Type I	
COc1ccc(C(CNC(=O)c2ncc(Cl)c(Cl)c2Cl)N2CCOCC2)cc1	3.854	1	5	6	444.746	178.230	Yes	5.715	No	I	II	I	Type I	
O=C(NNc1ccc(-n2ccnc2)nn1)Nc1ccc(Nc2cccc(OC(F)(F)F)c2)cn1	3.848	4	9	7	471.403	189.540	Yes	6.232	No	I	II	I	Type I	
Cc1nnc(N2CCN(c3cc(C(C)(C)C)nc(C(C)(C)C)n3)CC2)c(C(N)=O)c1C	2.904	1	7	3	425.581	184.825	Yes	6.166	No	I	I1/2	I	Type I	
Cn1c(=O)c2c(ncn2CC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)n(C)c1=O	-0.060	1	9	3	437.460	180.673	Yes	5.555	No	I	I1/2	I	Type I	
