SMILES,QED,ChemAIrank
CC(C(=O)Nc1cccc(C#N)c1)N1CCN(Cc2ccccc2)CC1,90.25,24.12
COc1ccc(Br)c(C(=O)NC(C2CC2)C2CC2)c1,90.17,23.57
Cc1c(CNC(C)c2ccccc2)cc(C#N)n1C,90.94,42.93
Cc1cc(C)c(C#N)c(NCC(C)c2nccs2)n1,92.78,25
CC1CCCN(C(C)C(=O)Nc2ccccc2C#N)C1,91.91,24.24
Cc1c(CNc2ccccc2N(C)C)cc(C#N)n1C,92.7,41.67
Cn1ccc(C(=O)Nc2c(F)cc(Br)cc2F)cc1=O,91.16,49.13
CC(C)c1ncc(Cl)c(C(=O)NCC2CCCN(Cc3ccccc3)C2)n1,81.76,24.94
Cc1nc(NC(CN)C2CCCCC2)c(Cl)cc1C#N.O=C(O)C(F)(F)F,69.93,23.09
Cc1occc1CN(C)c1nc2c(cc1C#N)CCCC2,86.52,26.6
CC(c1ccccc1)N(C)Cc1cc(=O)n(C)c(=O)n1C,85.08,66
CC(C)c1cc(NC(=O)c2nc(C(C)C)ncc2Cl)[nH]n1,90.69,28.59
Cc1c(CNC(C)c2ccc(F)cc2F)cc(C#N)n1C,93.76,39.85
Cc1cc(C)nc(NC(=O)c2nc(C(C)C)ncc2Cl)c1,94.18,29.64
Cc1ccc(CN(C)C(C)C(=O)Nc2ccc(C#N)cc2)o1,92.09,24.15
CC(C(=O)Nc1cccc(C#N)c1)N(C)Cc1cc(Br)cs1,86.02,21.23
CC(NC(=O)c1ccc([N+](=O)[O-])cc1Cl)C1CC2CCC1C2,67.65,23.12
Cc1ccc(CC(C)NC(=O)c2ccc(C(=O)O)c(C)n2)s1,88.82,28.18
Cc1cc(C)c(S(N)(=O)=O)cc1C(=O)NC(C1CC1)C1CC1,86.7,24.23
Cc1ccccc1C(C)NC(=O)c1ccnc(Cl)c1[N+](=O)[O-],53.11,25.89
COc1ccc(NC(=O)C2Cc3ccccc32)c(C(=O)O)c1,90.94,26.23
CC(c1ccccc1Cl)N(C)c1ccc([N+](=O)[O-])cc1C#N,62.21,25.15
Cc1cc2ncn(CC(O)Cn3cnc(C#N)n3)c2cc1C,78,39.71
CC(c1ccccc1F)N(C)C(=O)c1ccnc(C(=O)O)c1,94.24,32.78
COc1ccnc(CNC(C)c2ccc(C#N)cc2)c1OC,88.77,36.16
CC(Cn1cccn1)Nc1ccc2nnc(C(F)(F)F)n2n1,79.57,33.01
Cc1ccc(CC(C)NC(=O)c2c(F)cc(C#N)cc2F)s1,93.61,24.54
CC1Cc2ncn(Cc3cc(=O)n(C)c(=O)n3C)c2CC1C,82.02,43.55
CC(C(=O)Nc1cccc(C#N)c1)N1CCCc2ccccc21,94.59,24.01
CC(C(=O)Nc1ccc(C#N)cc1)N1CCC2CCCCC2C1,93.06,25.9
CC(C(=O)Nc1cccc(C#N)c1)N1CCC2CCCCC2C1,93.06,23.07
Cc1ccc(NC(=O)C2CC(=O)N(CC(C)C)C2)cc1C(=O)O,87.05,27.01
CC(C)C(CNc1c(F)cc(C#N)cc1F)N1CCN(C)CC1,90.44,31.27
CCc1nn2c(=O)cc(CN3CCCC3c3cccs3)nc2s1,72.83,27.07
