SMILES,QED,ChemAIrank
CC(Cc1ccc(Cl)cc1)N(C)C(=O)c1ccc(C#N)cn1,86.98,57.33
Cn1c(CN2CCCC2c2nc3ccccc3s2)cc(=O)n(C)c1=O,72.05,57.33
CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)C(=O)C1=Cc2ccccc2OC1,85.17,57.26
NS(=O)(=O)N1CCc2ccc(NC(=O)C3C4CC5CC(C4)CC3C5)cc21,84.86,57.24
O=C1CCCc2[nH]c(=O)c(C(=O)N3CCc4c(Cl)cc(F)cc4C3)cc21,83.4,57.23
Cc1c(NS(=O)(=O)c2ccc(N(C)CC(C)C#N)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,38.24,57.2
CC(C)(O)CN1CCc2c(cccc2NC(=O)c2cccc3ccc(O)nc23)C1,63.52,57.19
CC(C)n1ncc2cc(NC(=O)c3cc(S(=O)(=O)NC4CC4)c(Cl)cc3Cl)cnc21,56.88,57.16
CC(C)N1C(=O)C[C@H](NCc2c(Cl)ncnc2N(C)C)[C@H]1c1ccc(Cl)c(F)c1,69.24,57.15
CCN1CCCC1CN(Cc1ccc(O)cc1)C(=O)c1cc(N2CCCC2=O)ccc1F,71.32,57.14
Cc1cc(C(C)(C)C)cc(C)c1Cn1cnc(C#N)c1C#N,84.92,57.11
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)NCC(c3ccccc3)N(C)C)c2)c(=O)n(-c2ccccc2)n1C,34.68,57.11
Cn1cnc2c1c(=O)n(CCCSc1nc3ccccc3[nH]1)c(=O)n2C,42.46,57.08
Cn1ncc2c1CCCC2Nc1cnn(-c2ccc(C(F)(F)F)cn2)c(=O)c1Cl,69.57,57.05
CCc1cc2c(=O)c(-c3nc4ccccc4n3C)c(C)oc2c(CN2CCCCC2)c1O,49.71,57.04
CCCCCCCCCn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,48.69,57.04
Cn1nnc2c1CCC(NC(=O)c1ccc(Oc3cccc(F)c3)cn1)C2,76.59,57.03
N#Cc1ncn(CC(=O)c2ccc3c(c2)CCC(=O)N3)c1C#N,86.12,57.0
CCCCn1c(=O)[nH]c(=O)c2c1nc(Cn1ncc(Cl)c(Cl)c1=O)n2CCC,62.08,56.99
CN1C(=O)N(CC(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)C(=O)C12CCCCC2,68.73,56.97
CC(C)Cn1ncc(NC(=O)c2nccc3cccnc23)c1C(C)C,76.71,56.96
CCOc1cc(C(=O)Nc2nc(-c3cc(Cl)cc(Cl)c3OC(F)F)cs2)ccc1OCC(C)C,29.52,56.95
CCC(Oc1ccccc1)C(=O)N(C)CC(=O)N(CC(C)C)c1c(N)n(CC(C)C)c(=O)[nH]c1=O,49.9,56.91
CC(Nc1ccc(OC(F)(F)F)cc1)C(=O)Nc1ccc(C#N)c(Cl)c1,79.4,56.91
Cc1ccc(CC(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1C,57.99,56.85
CC(NC(=O)c1ccc(Br)cn1)C(c1ccccc1)N(C)C,88.82,56.8
Cc1cccc(C)c1NC(=O)CCc1nc2c(=O)[nH]c(=O)n(C)c2nc1O,62.66,56.8
O=C(OCC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1Nc1cccc(C(F)(F)F)c1,55.55,56.79
Cc1c(NC(=O)CN2c3ccccc3CC2C)c(=O)n(-c2ccccc2)n1C,76.17,56.72
CC(NC(=O)c1cc(C#N)c(N)cc1O)c1ccc(OCC2CC2)c(F)c1,67.74,56.69
CC(NC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C)C1CC2CCC1C2,80.51,56.62
Cn1cnc2c1c(=O)n(CC(=O)NCc1ccccc1CN1CCOCC1)c(=O)n2C,57.45,56.52
COc1cc2nc(N3CCC(c4nncn4C(C)C)CC3)nc(N)c2cc1OC,70.07,56.51
CC(OC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C)C(=O)Nc1ccc(N2CCOCC2)cc1,44.77,56.5
N#Cc1ncn(Cc2ccn(-c3ccc(F)cc3)n2)c1C#N,73.88,56.48
CC12CC3CC(C1)CC(c1ccc(O)c(C45CC6CC(CC(C)(C6)C4)C5)c1)(C3)C2,57.04,56.47
N#Cc1ccncc1O[C@H]1CCN(c2cccc(Nc3ccccc3OC(F)(F)F)n2)C1,59.63,56.46
Cc1ccc(N2CCCC2=O)c(C(=O)Nc2cc3c(cc2F)NC(=O)CC3)c1,85.54,56.45
O=c1[nH]ccc(N2CCC(COc3ccc(C(F)(F)F)cn3)CC2)c1[N+](=O)[O-],61.38,56.39
CCOC(=O)c1cc2c(cc1Cl)N(CC)C(=CC=C1SC(=S)N(CC)C1=O)N2CC(O)CO,30.99,56.35
Cc1nnc(Oc2ccc(F)c3c2C(=O)CC3C)c(C#N)c1C,84.69,56.33
Cc1nn(CC(O)COc2ccccc2C(C)C)c(=O)c(C#N)c1C,87.08,56.31
Cc1cn2c3c(=O)n(CCCc4ccccc4)c(=O)n(C)c3nc2n1CCCn1ccnc1,36.71,56.3
Cc1c(N(C)S(=O)(=O)c2cccc(C(=O)NCc3cccnc3)c2)c(=O)n(-c2ccccc2)n1C,42.78,56.29
Cc1sc2nc(CN3CCOCC3)nc(NCc3ccc(CN4CCOCC4)cc3)c2c1C,56.98,56.19
Cn1c(CN2CCN(S(=O)(=O)c3ccc(C4CCCCC4)cc3)CC2)cc(=O)n(C)c1=O,67.73,56.19
Cn1cnc2c1c(=O)n(CCCSCc1cccc3ccccc13)c(=O)n2C,47.19,56.16
CCOc1cc(Br)c(CC(=O)Nc2c(C#N)ccc(F)c2F)cc1OCC,68.61,56.15
Cc1c(C=NNc2ccccc2C(=O)O)c2ccccn2c1C#N,57.05,56.14
CN(Cc1nc(-c2ccc(Cl)cc2)no1)C1c2cc(Cl)cc(Cl)c2CC1O,65.24,56.1
CC(c1ccc(Cl)cc1Cl)N(C)c1ccc2nnc(C(F)(F)F)n2n1,65.35,56.1
Cn1c(-c2cccc3c2OC(C)(C)C3)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,57.13,56.09
Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3ccc(F)c(NC(=O)Cn4cncn4)c3)c12,46.81,56.06
COCC(=O)N1CCc2c(NCc3cccc4c3OC(C)(C)C4)cccc21,87.93,56.04
CC(C)c1ccc(C(=O)OCCCn2c(=O)c3c(ncn3C)n(C)c2=O)cc1,47.77,56.01
Cc1c(NS(=O)(=O)c2ccc(NC3CCCCC3)c([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C,38.53,55.98
